日期,網址,標題
4/06,https://www.ptt.cc/bbs/Vtuber/M.1680783930.A.550.html,[聽歌] YOSHIKAよしか 22:00 五連歌回(1/5)
4/06,https://www.ptt.cc/bbs/Vtuber/M.1680784875.A.F79.html,Fw: [Vtub] 焔魔るり 週四定期歌回
4/06,https://www.ptt.cc/bbs/Vtuber/M.1680796759.A.7F2.html,[生日] 祝4/6生日的VTuber生日快樂
4/07,https://www.ptt.cc/bbs/Vtuber/M.1680818402.A.63C.html,[閒聊] にじさんじ 彩虹直播 (2023/04/07)
4/07,https://www.ptt.cc/bbs/Vtuber/M.1680849727.A.BD3.html,[Vtub] 獅子神レオナ 新衣裝
4/07,https://www.ptt.cc/bbs/Vtuber/M.1680861099.A.894.html,[閒聊] ななしいんく 774 inc.直播 (2023/04/07)
4/07,https://www.ptt.cc/bbs/Vtuber/M.1680861180.A.32F.html,[閒聊] Vspoぶいすぽ/旅團/NeoPorte (230407)
4/07,https://www.ptt.cc/bbs/Vtuber/M.1680863697.A.464.html,[情報] 來點娛樂-Vtuber中之人&營運經理人招募
4/07,https://www.ptt.cc/bbs/Vtuber/M.1680867090.A.13A.html,[閒聊] ぽぽんっ！と登場～！ 先斗寧 3D披露回
4/07,https://www.ptt.cc/bbs/Vtuber/M.1680870116.A.DA3.html,[聽歌] YOSHIKAよしか 22:00 五連歌回(2/5)
4/07,https://www.ptt.cc/bbs/Vtuber/M.1680878252.A.81F.html,Fw: [Vtub] 瀬戸乃とと 歌回
4/07,https://www.ptt.cc/bbs/Vtuber/M.1680881051.A.260.html,[生日] 祝4/7生日的VTuber生日快樂
4/08,https://www.ptt.cc/bbs/Vtuber/M.1680904829.A.6BE.html,[閒聊] にじさんじ 彩虹直播 (2023/04/08)
4/08,https://www.ptt.cc/bbs/Vtuber/M.1680914353.A.048.html,[閒聊] 大空スバル 早安雜談直播
4/08,https://www.ptt.cc/bbs/Vtuber/M.1680923237.A.439.html,[閒聊] ななしいんく 774 inc.直播 (2023/04/08)
4/08,https://www.ptt.cc/bbs/Vtuber/M.1680923270.A.3D7.html,[閒聊] Vspoぶいすぽ/旅團/NeoPorte (230408)
4/08,https://www.ptt.cc/bbs/Vtuber/M.1680924074.A.1EB.html,Fw: [情報] 臺灣 Vtuber 觀看數據分享 2023/04/08
4/08,https://www.ptt.cc/bbs/Vtuber/M.1680926300.A.6A3.html,[閒聊] 大空スバル 午間遊戲直播《交響曲傳奇》
4/08,https://www.ptt.cc/bbs/Vtuber/M.1680940066.A.6DC.html,[閒聊] 舞棍大叔
4/08,https://www.ptt.cc/bbs/Vtuber/M.1680943732.A.CEC.html,[Vtub] 戌月れん 28000人歌枠耐久
